Modelo,Dataset,Test,Cold items,RMSE,MAE,P@5,R@5,P@10,R@10,NDCG@10,Tiempo (s)
KNN-Baseline (item-based),KNN 10%,Temporal warm-start,0,0.8854023731282966,0.6626077833770557,0.30478651408883967,0.30478651408883967,0.30478651408883967,0.30478651408883967,0.0,146.27892518043518
SVD,MAIN 60%,Temporal warm-start,62,0.8652135537597803,0.6560827871685826,0.2802807219149831,0.2802807219149831,0.2802807219149831,0.2802807219149831,0.0,85.20419239997864
AutoML → BaselineOnly,MAIN 60%,Temporal warm-start,62,0.9234696016028546,0.7044308052417301,0.24599078624708864,0.24599078624708864,0.24599078624708864,0.24599078624708864,0.0,3356.275872707367
NMF,MAIN 60%,Temporal warm-start,62,0.9361386739991463,0.7129342535139042,0.24823779280342284,0.24823779280342284,0.24823779280342284,0.24823779280342284,0.0,159.69897508621216
Baseline (Pop. Bayesiana),MAIN 60%,Temporal warm-start,62,1.0091558179391609,0.7923972946914086,0.12360588120620133,0.12360588120620133,0.12360588120620133,0.12360588120620133,0.0,2.9492905139923096
