Modelo,Familia,Test RMSE,Test MAE
MF+Bias (DL),Deep Learning,0.8045775453221781,0.6113389692670381
SVD (clásico),Factorización,0.819368704677192,0.6211928000427563
NeuMF (DL),Deep Learning,0.8196391813035724,0.620781265795571
